link,name,type,canonical_name
/wiki/Richard_Adolf_Zsigmondy,Richard Adolf Zsigmondy,PERSON,richard adolf zsigmondy
/wiki/George_Bernard_Shaw,George Bernard Shaw,PERSON,george bernard shaw
/wiki/Austen_Chamberlain,Austen Chamberlain,PERSON,austen chamberlain
/wiki/Charles_G._Dawes,Charles G. Dawes,PERSON,charles g dawes
/wiki/Jean_Baptiste_Perrin,Jean Baptiste Perrin,PERSON,jean baptiste perrin
/wiki/Theodor_Svedberg,Theodor Svedberg,PERSON,theodor svedberg
/wiki/Johannes_Fibiger,Johannes Fibiger,PERSON,johannes fibiger
/wiki/Grazia_Deledda,Grazia Deledda,PERSON,grazia deledda
/wiki/Gustav_Stresemann,Gustav Stresemann,PERSON,gustav stresemann
/wiki/Arthur_Compton,Arthur Compton,UNKNOWN,arthur compton
/wiki/Charles_Thomson_Rees_Wilson,Charles Thomson Rees Wilson,PERSON,charles thomson rees wilson
/wiki/Heinrich_Otto_Wieland,Heinrich Otto Wieland,PERSON,heinrich otto wieland
/wiki/Julius_Wagner-Jauregg,Julius Wagner-Jauregg,UNKNOWN,julius wagner-jauregg
/wiki/Henri_Bergson,Henri Bergson,PERSON,henri bergson
/wiki/Owen_Willans_Richardson,Owen Willans Richardson,PERSON,owen willans richardson
/wiki/Adolf_Otto_Reinhold_Windaus,Adolf Windaus,PERSON,adolf windaus
/wiki/Charles_Nicolle,Charles Nicolle,PERSON,charles nicolle
/wiki/Sigrid_Undset,Sigrid Undset,PERSON,sigrid undset
/wiki/Louis_de_Broglie,Louis de Broglie,PERSON,louis de broglie
/wiki/Arthur_Harden,Arthur Harden,PERSON,arthur harden
/wiki/Hans_von_Euler-Chelpin,Hans von Euler-Chelpin,PERSON,hans von euler-chelpin
/wiki/Frederick_Gowland_Hopkins,Frederick Gowland Hopkins,PERSON,frederick gowland hopkins
/wiki/Thomas_Mann,Thomas Mann,PERSON,thomas mann
/wiki/Frank_B._Kellogg,Frank Billings Kellogg,PERSON,frank billings kellogg
/wiki/C._V._Raman,Chandrasekhara Venkata Raman,PERSON,chandrasekhara venkata raman
/wiki/Hans_Fischer,Hans Fischer,PERSON,hans fischer
/wiki/Karl_Landsteiner,Karl Landsteiner,PERSON,karl landsteiner
/wiki/Sinclair_Lewis,Sinclair Lewis,PERSON,sinclair lewis
/wiki/Nathan_S%C3%B6derblom,Nathan Söderblom,UNKNOWN,nathan soderblom
/wiki/Carl_Bosch,Carl Bosch,PERSON,carl bosch
/wiki/Friedrich_Bergius,Friedrich Bergius,PERSON,friedrich bergius
/wiki/Otto_Heinrich_Warburg,Otto Heinrich Warburg,PERSON,otto heinrich warburg
/wiki/Erik_Axel_Karlfeldt,Erik Axel Karlfeldt,PERSON,erik axel karlfeldt
/wiki/Jane_Addams,Jane Addams,PERSON,jane addams
/wiki/Werner_Heisenberg,Werner Heisenberg,PERSON,werner heisenberg
/wiki/Irving_Langmuir,Irving Langmuir,PERSON,irving langmuir
/wiki/John_Galsworthy,John Galsworthy,PERSON,john galsworthy
/wiki/Erwin_Schr%C3%B6dinger,Erwin Schrödinger,PERSON,erwin schrodinger
/wiki/Paul_Dirac,Paul Dirac,PERSON,paul dirac
/wiki/Thomas_Hunt_Morgan,Thomas Hunt Morgan,PERSON,thomas hunt morgan
/wiki/Ivan_Bunin,Ivan Alekseyevich Bunin,PERSON,ivan alekseyevich bunin
/wiki/Norman_Angell,Norman Angell,PERSON,norman angell
/wiki/Harold_Urey,Harold Urey,PERSON,harold urey
/wiki/George_Whipple,George Whipple,PERSON,george whipple
/wiki/George_Minot,George Minot,PERSON,george minot
/wiki/William_P._Murphy,William P. Murphy,UNKNOWN,william p murphy
/wiki/Luigi_Pirandello,Luigi Pirandello,PERSON,luigi pirandello
/wiki/James_Chadwick,James Chadwick,PERSON,james chadwick
/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie,Frédéric Joliot-Curie,PERSON,frederic joliot-curie
/wiki/Ir%C3%A8ne_Joliot-Curie,Irène Joliot-Curie,PERSON,irene joliot-curie
/wiki/Victor_Francis_Hess,Victor Francis Hess,PERSON,victor francis hess
/wiki/Carl_David_Anderson,Carl David Anderson,PERSON,carl david anderson
/wiki/Peter_Debye,Peter Debye,PERSON,peter debye
/wiki/Eugene_O%27Neill,Eugene O'Neill,PERSON,eugene o'neill
/wiki/Carlos_Saavedra_Lamas,Carlos Saavedra Lamas,PERSON,carlos saavedra lamas
/wiki/Clinton_Davisson,Clinton Davisson,PERSON,clinton davisson
/wiki/George_Paget_Thomson,George Paget Thomson,PERSON,george paget thomson
/wiki/Norman_Haworth,Norman Haworth,PERSON,norman haworth
/wiki/Paul_Karrer,Paul Karrer,PERSON,paul karrer
/wiki/Albert_Szent-Gy%C3%B6rgyi,Albert Szent-Györgyi,PERSON,albert szent-gyorgyi
/wiki/Roger_Martin_du_Gard,Roger Martin du Gard,PERSON,roger martin du gard
/wiki/Enrico_Fermi,Enrico Fermi,PERSON,enrico fermi
/wiki/Richard_Kuhn,Richard Kuhn,PERSON,richard kuhn
/wiki/Corneille_Heymans,Corneille Heymans,PERSON,corneille heymans
/wiki/Pearl_S._Buck,Pearl S. Buck,PERSON,pearl s buck
/wiki/Ph%C3%B2ng_qu%E1%BB%91c_t%E1%BA%BF_Nansen_cho_c%C3%A1c_ng%C6%B0%E1%BB%9Di_t%E1%BB%8B_n%E1%BA%A1n,Cơ quan quốc tế về người tị nạn Nansen,UNKNOWN,co quan quoc te ve nguoi ti nan nansen
/wiki/Ernest_Lawrence,Ernest Lawrence,PERSON,ernest lawrence
/wiki/Adolf_Butenandt,Adolf Butenandt,PERSON,adolf butenandt
/wiki/Leopold_Ru%C5%BEi%C4%8Dka,Leopold Ružička,PERSON,leopold ruzicka
/wiki/Gerhard_Domagk,Gerhard Domagk,PERSON,gerhard domagk
/wiki/Frans_Eemil_Sillanp%C3%A4%C3%A4,Frans Eemil Sillanpää,PERSON,frans eemil sillanpaa
/wiki/Otto_Stern,Otto Stern,PERSON,otto stern
/wiki/George_de_Hevesy,George de Hevesy,PERSON,george de hevesy
/wiki/Henrik_Dam,Henrik Dam,UNKNOWN,henrik dam
/wiki/Edward_Adelbert_Doisy,Edward Adelbert Doisy,PERSON,edward adelbert doisy
/wiki/Isidor_Isaac_Rabi,Isidor Isaac Rabi,PERSON,isidor isaac rabi
/wiki/Otto_Hahn,Otto Hahn,PERSON,otto hahn
/wiki/Joseph_Erlanger,Joseph Erlanger,UNKNOWN,joseph erlanger
/wiki/Herbert_Spencer_Gasser,Herbert Spencer Gasser,PERSON,herbert spencer gasser
/wiki/Johannes_Vilhelm_Jensen,Johannes Vilhelm Jensen,PERSON,johannes vilhelm jensen
/wiki/Wolfgang_Pauli,Wolfgang Ernst Pauli,PERSON,wolfgang ernst pauli
/wiki/Artturi_Ilmari_Virtanen,Artturi Ilmari Virtanen,PERSON,artturi ilmari virtanen
/wiki/Alexander_Fleming,Alexander Fleming,PERSON,alexander fleming
/wiki/Ernst_Boris_Chain,Ernst Boris Chain,PERSON,ernst boris chain
/wiki/Howard_Florey,Howard Walter Florey,PERSON,howard walter florey
/wiki/Gabriela_Mistral,Gabriela Mistral,PERSON,gabriela mistral
/wiki/Percy_Williams_Bridgman,Percy Williams Bridgman,PERSON,percy williams bridgman
/wiki/James_B._Sumner,James Batcheller Sumner,PERSON,james batcheller sumner
/wiki/John_Howard_Northrop,John Howard Northrop,PERSON,john howard northrop
/wiki/Wendell_Meredith_Stanley,Wendell Meredith Stanley,PERSON,wendell meredith stanley
/wiki/Hermann_Joseph_Muller,Hermann Joseph Muller,PERSON,hermann joseph muller
/wiki/Hermann_Hesse,Hermann Hesse,PERSON,hermann hesse
/wiki/Emily_Greene_Balch,Emily Greene Balch,UNKNOWN,emily greene balch
/wiki/John_Mott,John Mott,PERSON,john mott
/wiki/Edward_Victor_Appleton,Edward Victor Appleton,PERSON,edward victor appleton
/wiki/Robert_Robinson_(organic_chemist),Robert Robinson,PERSON,robert robinson
/wiki/Carl_Ferdinand_Cori,Carl Ferdinand Cori,PERSON,carl ferdinand cori
/wiki/Gerty_Cori,Gerty Theresa Cori,PERSON,gerty theresa cori
/wiki/Bernardo_Houssay,Bernardo Houssay,PERSON,bernardo houssay
/wiki/Andr%C3%A9_Gide,André Gide,PERSON,andre gide
"/wiki/Patrick_Blackett,_Baron_Blackett",Patrick Blackett,PERSON,patrick blackett
/wiki/Arne_Tiselius,Arne Tiselius,PERSON,arne tiselius
/wiki/Paul_Hermann_M%C3%BCller,Paul Hermann Müller,PERSON,paul hermann muller
/wiki/T._S._Eliot,T. S. Eliot,PERSON,t s eliot
/wiki/Hideki_Yukawa,Yukawa Hideki,PERSON,yukawa hideki
/wiki/William_Giauque,William Giauque,PERSON,william giauque
/wiki/Walter_Rudolf_Hess,Walter Rudolf Hess,PERSON,walter rudolf hess
/wiki/William_Faulkner,William Faulkner,PERSON,william faulkner
/wiki/C._F._Powell,Cecil Frank Powell,UNKNOWN,cecil frank powell
/wiki/Otto_Diels,Otto Diels,PERSON,otto diels
/wiki/Kurt_Alder,Kurt Alder,PERSON,kurt alder
/wiki/Philip_Showalter_Hench,Philip Showalter Hench,UNKNOWN,philip showalter hench
/wiki/Edward_Calvin_Kendall,Edward Calvin Kendall,PERSON,edward calvin kendall
/wiki/Tadeus_Reichstein,Tadeus Reichstein,PERSON,tadeus reichstein
/wiki/Bertrand_Russell,Bertrand Russell,PERSON,bertrand russell
/wiki/Ralph_Bunche,Ralph Bunche,PERSON,ralph bunche
/wiki/John_Cockcroft,John Cockcroft,PERSON,john cockcroft
/wiki/Ernest_Walton,Ernest Walton,PERSON,ernest walton
/wiki/Edwin_McMillan,Edwin McMillan,PERSON,edwin mcmillan
/wiki/Glenn_T._Seaborg,Glenn Seaborg,PERSON,glenn seaborg
/wiki/Max_Theiler,Max Theiler,PERSON,max theiler
/wiki/P%C3%A4r_Lagerkvist,Pär Lagerkvist,PERSON,par lagerkvist
/wiki/L%C3%A9on_Jouhaux,Léon Jouhaux,UNKNOWN,leon jouhaux
